CustomerID,Prefix,First_Name,Last_Name,Age,DateOfBirth,Gender,Region,District,Country,Email,Phone,City
11000,Ms.,Lavanya,Deshmukh,41,08-05-1984,F,Southern TN,Kanchipuram,India,lava72ukh@outlook.com,8931996986,Adayar-South
11001,Mrs.,Shaurya,Rathore,50,08-03-1975,F,western TN,Coimbatore,India,shau88ore@outlook.com,7820447196,Selvapuram-West
11002,Mr.,Bharat,Ghoshal,24,22-07-2001,M,western TN,Coimbatore,India,bhar92hal@outlook.com,7343549024,Gandhipuram-Central
11003,Mrs.,Nandan,Shah,20,07-10-2005,F,Southern TN,Kanchipuram,India,nand14hah@outlook.com,8097925617,Adayar-South
11004,Mr.,Vishal,Malik,41,26-11-1984,M,Southern TN,Kanchipuram,India,vish75lik@gmail.com,6971502920,Velachery-East
11005,Mr.,Karan,Malik,47,25-05-1978,M,western TN,Coimbatore,India,kara29lik@gmail.com,6585650496,Kinathukadavu-South
11006,Mrs.,Pritam,Prasad,28,08-12-1997,F,Southern TN,Kanchipuram,India,prit23sad@outlook.com,6250793963,Velachery-East
11007,Mrs.,Ravindra,Mittal,32,08-09-1993,F,Central TN,Trichy,India,ravi29tal@outlook.com,8572702929,Cantonment-Central
11008,Mr.,Rohan,Sood,37,08-08-1988,M,Southern TN,Kanchipuram,India,roha72ood@outlook.com,6014469512,Manali-North
11009,Mrs.,Saurabh,Naidu,33,05-02-1992,F,Central TN,Trichy,India,saur73idu@outlook.com,6866685454,Cantonment-Central
11010,Mr.,Aaditya,Choudhary,42,03-10-1983,M,western TN,Coimbatore,India,aadi99ary@gmail.com,6282288930,Gandhipuram-Central
11011,Mrs.,Vinit,Khan,51,20-08-1974,F,Southern TN,Kanchipuram,India,vini21han@gmail.com,8955607917,Velachery-East
11012,Mr.,Rishabh,Parmar,27,25-04-1998,M,western TN,Coimbatore,India,rish41mar@outlook.com,8746530302,Selvapuram-West
11013,Mrs.,Shyam,Sharma,35,03-06-1990,F,Central TN,Trichy,India,shya25rma@gmail.com,9794402295,Lalgudi-Central
11014,Mrs.,Rishi,Rai,50,14-06-1975,F,Southern TN,Kanchipuram,India,rish72rai@outlook.com,9872144918,Manali-North
11015,Mr.,Sai,Pathan,30,11-10-1995,M,western TN,Coimbatore,India,sai39han@gmail.com,6804802821,Selvapuram-West
11016,Mrs.,Shubham,Malhotra,50,03-08-1975,F,western TN,Coimbatore,India,shub12tra@outlook.com,8535774164,Kinathukadavu-South
11017,Mrs.,Kapil,Desai,44,09-07-1981,F,western TN,Coimbatore,India,kapi79sai@gmail.com,8008544700,Gandhipuram-Central
11018,Mrs.,Parth,Reddy,41,20-08-1984,F,Southern TN,Kanchipuram,India,part85ddy@outlook.com,7800717758,Velachery-East
11019,Mr.,Aarav,Bhatti,20,14-07-2005,M,western TN,Coimbatore,India,aara72tti@outlook.com,6968216925,Selvapuram-West
11020,Mrs.,Nikhil,Sood,48,02-08-1977,F,western TN,Coimbatore,India,nikh81ood@gmail.com,6730932454,Kinathukadavu-South
11021,Mrs.,Kunal,Mann,46,27-11-1979,F,Central TN,Trichy,India,kuna22ann@outlook.com,8939769463,Cantonment-Central
11022,Mr.,Vimal,Chandra,43,11-05-1982,M,Southern TN,Kanchipuram,India,vima18dra@outlook.com,6125262028,Manali-North
11023,Mrs.,Kumar,Malik,33,28-12-1992,F,western TN,Coimbatore,India,kuma36lik@outlook.com,7251927505,Selvapuram-West
11024,Mrs.,Kiran,Shah,49,11-03-1976,F,western TN,Coimbatore,India,kira77hah@gmail.com,6522736420,Gandhipuram-Central
11025,Mrs.,Jatin,Kumar,23,16-07-2002,F,Central TN,Trichy,India,0,9827576057,Lalgudi-Central
11026,Mrs.,Mukul,Pandey,44,05-06-1981,F,Central TN,Trichy,India,muku75dey@gmail.com,9746001649,Manaparai-South
11027,Mrs.,Ankur,Rajput,50,04-04-1975,F,western TN,Coimbatore,India,anku51put@outlook.com,7408690574,Kovilpalayam-North
11028,Mr.,Yuvraj,Singhal,53,27-05-1972,M,Southern TN,Kanchipuram,India,yuvr63hal@gmail.com,7052790577,Guindy-West
11029,Mrs.,Kishore,Yadav,51,21-12-1974,F,Central TN,Trichy,India,kish59dav@outlook.com,7256820610,Lalgudi-Central
11030,Mrs.,Rohan,Singh,26,20-09-1999,F,Southern TN,Kanchipuram,India,roha62ngh@outlook.com,6739704364,Manali-North
11031,Mrs.,Krish,Nair,48,17-05-1977,F,Southern TN,Kanchipuram,India,kris20air@outlook.com,6555338522,Manali-North
11032,Mr.,Harvinder,Kohli,49,05-09-1976,M,Southern TN,Kanchipuram,India,harv18hli@outlook.com,7486072241,Adayar-South
11033,Mrs.,Madhav,Ghosh,37,21-12-1988,F,western TN,Coimbatore,India,madh84osh@outlook.com,9352067932,Kovilpalayam-North
